judul_berita;waktu_berita_detail;label
Sebut Kopdes Merah Putih Bisa Balik Modal 5 Kali Lipat, Wamenkop: Jadi Rp 2.000 Triliun;14/04/2025;1
Menteri Perlindungan Pekerja Migran Dorong Warga Kerja ke Luar Negeri;14/04/2025;1
Polisi Tangkap 4 Anggota Sindikat Perdagangan Cula Badak 1,8 M di Jambi;14/04/2025;1
Positif Narkoba, WN Amerika yang Rusak Fasilitas Klinik di Bali Dideportasi;14/04/2025;1
Febri Diansyah: Saya Tak Lagi Kuasai Info Rahasia Soal Harun Masiku;14/04/2025;1
BTN Jakarta International Marathon 2025 Digelar Juni, Peserta Meningkat Dua Kali Lipat;14/04/2025;1
6 Rekomendasi Baju Setelan Wanita, Harga Mulai Rp 189.000;14/04/2025;1
Relaksasi TKDN Matikan Industri Konstruksi Dalam Negeri;14/04/2025;1
Demi MBG, Pemprov Jateng Bakal Tambah 105 SPPG Baru, di Mana Saja?;14/04/2025;1
Ingin Jantung Tetap Sehat, Jangan Makan Malam Hari;14/04/2025;1
Penerbangan Misterius di Denmark Banyak Peminat, Tiket Habis dalam Waktu 4 Menit;14/04/2025;1
Mengenal Hermes, Dewa Yunani yang Dikaitkan dengan Kesuburan dan Keberuntungan;14/04/2025;1
Cara Menanam Wortel dengan Mudah di Kebun Rumah;14/04/2025;1
Pertamina Klaim Penjualan Pertamax Kembali ke Kondisi Normal;14/04/2025;1
Tiga Polisi Diduga Pungli di Rutan Polda Jawa Tengah, Ada Jasa Sewa HP;14/04/2025;1
Pembeli Tak Khawatir dengan Harga Emas Naik-Turun: Ini Investasi Jangka Panjang;14/04/2025;1
Erick Thohir Soal Nasib Pelatih Tim Nasional, Evaluasi Terukur dan Tidak Dadakan;14/04/2025;1
Polda Jabar Hentikan Pemanggilan 40 Ulama Tasikmalaya, Kuasa Hukum: Siapa Pelapornya?;14/04/2025;1
Film Komang Tembus 2 Juta Penonton;14/04/2025;1
BERITA FOTO: Momen Prabowo Disambut Hangat Raja Abdullah II di Yordania;14/04/2025;1
La Nyalla: Di Berita Acara Penggeledahan, Tak Ditemukan Barang Terkait Kasus Dana Hibah Jatim;14/04/2025;1
Situs Judi Online Catut Nama Polresta Solo, Server Terdeteksi di Luar Negeri;14/04/2025;1
Cerita Nur Holis yang Tak Pernah Menolak Beli Barang Bekas...;14/04/2025;1
Gresini Racing Yakin Alex Marquez Bisa Konsisten di Musim Ini;14/04/2025;1
Resmikan Pelabuhan Internasional Kelima di Batam, Menteri AHY Harapkan Perkembangan Pariwisata dan UMKM;14/04/2025;1
Kembalinya Jurusan di SMA, Orangtua: Kebijakan Mendadak Bikin Bingung;14/04/2025;1
Awet Muda, Intip 5 Gaya Ariel Noah dari Kasual hingga Edgy;14/04/2025;1
Pesta Ultah Kucing di Banyuwangi Dimeriahkan 12 Biduan, Telan Rp 50 Juta;14/04/2025;1
Perda SUSU Kendal, Calon Pengantin dan Ibu Melahirkan Wajib Tanam Pohon;14/04/2025;1
Harga Emas Diprediksi Terus Naik karena Geopolitik dan Perang Dagang;14/04/2025;1
Besok, Dishub Jakarta Uji Coba Rute Baru Transjabodetabek Blok M–Alam Sutera;14/04/2025;1
Awal Mula Kasus Korupsi Dana Hibah Jatim Terungkap, Seret Nama Eks Mendes, Rumah La Nyalla Digeledah;14/04/2025;1
Polda Jatim Belum Terima Surat Pencabutan Laporan Terhadap Armuji;14/04/2025;1
Simak Syarat Ikut Pemutihan Pajak buat Kendaraan yang Sudah Diblokir;14/04/2025;1
Indonesia Minta Rusia Segera Buka Penerbangan Langsung Moskwa-Jakarta;14/04/2025;1
Kunjungi Polda Jabar Wamen PPA Dorong Hukuman Maksimal untuk Dokter Pemerkosa Keluarga Pasien RSHS;14/04/2025;1
Ganjil Genap di Jakarta Ditiadakan Saat Libur Wafat Isa Almasih;14/04/2025;1
Temui Pejabat China, Pimpinan MPR Cari Solusi Polusi Udara untuk RI;14/04/2025;1
Jadi Pengacara Hasto, Febri Diansyah: Tugas Advokat Bukan Babi Buta Membela;14/04/2025;1
Ada Pulau Bernama Paskah, Adakah Hubungannya dengan Hari Paskah?;14/04/2025;1
Kemen PPPA Minta RSHS dan Unpad Benahi Sistem Pengawasan Usai Kasus Pelecehan Seksual;14/04/2025;1
Menanti Realisasi Pertemuan Kedua Prabowo-Megawati...;14/04/2025;1
Korupsi Dana Hibah Jatim, KPK Ungkap Peran Eks Mendes Abdul Halim Iskandar Saat Jadi DPRD;14/04/2025;1
Video Kekerasan di Jalan Raya Marak, Ini Kata Pakar Safety Driving;14/04/2025;1
Jokowi Tak akan Tunjukkan Ijazah Aslinya, Kecuali Diminta Pengadilan;14/04/2025;1
Nelayan Muara Angke Ancam Demo Lagi jika Penolakan VMS Tak Didengar Pemerintah;14/04/2025;1
Respons Tarif Trump, Kementerian ATR/BPN Bereskan RDTR;14/04/2025;1
Penurunan Emisi Sektor Pelayaran Bakal Mentok di 75 Persen pada 2050;14/04/2025;1
Indonesia Siapkan Strategi 3 Arah untuk Negosiasi Tarif Trump 32 Persen dengan AS;14/04/2025;1
Cerita Perempuan di AS Alami Haid 1.000 Hari Tanpa Henti, Kok Bisa?;14/04/2025;1
PAP Mengaku Hanya Sekali Lakukan Pemerkosaan, Polda Jabar Terima Laporan Lain;14/04/2025;1
Tugas, Wewenang, dan Anggota MPR RI;14/04/2025;1
Pemkot Akui Lemah Awasi Pembangunan Perumahan di Depok;14/04/2025;1
Ada 15 Pelat Besi JPO Daan Mogot yang Hilang Diduga Dicuri;14/04/2025;1
"Pria Indonesia Ditangkap Imigrasi AS, Diduga Terlibat Demo ""Black Lives Matter""";14/04/2025;1
Pemerintah Matangkan Pembentukan Satgas PHK dan Satgas Deregulasi;14/04/2025;1
[KLARIFIKASI] Video Kuda Terbang Direkam dari Pesawat Dibuat dengan AI;14/04/2025;1
Di Balik Etalase Emas, Tersimpan Cerita Pertengkaran dan Kesabaran;14/04/2025;1
"Dukung ""Earth Festival 2025"", Kemenpar Ajak Ubah Kebiasaan untuk Bumi Lebih Baik";14/04/2025;1
Cara Membersihkan Kipas Angin Gantung agar Debunya Tidak Menumpuk;14/04/2025;1
Mengurangi Risiko Stroke Berulang: Ini 5 Langkah yang Perlu Dilakukan;14/04/2025;1
Terbang ke Luar Angkasa, Katy Perry Jalani Pelatihan Astronot Jelang Peluncuran Roket All-Women Bersama Blue Origin;14/04/2025;1
April Buruk Mbappe, Lebih Banyak Kartu Merah Ketimbang Gol atau Assist;14/04/2025;1
Gara-gara Stempel Keimigrasian, Mahasiswa Asal Mamuju Ditangkap di Mesir;14/04/2025;1
Kasus Diare di Pulau Rhun, Ditemukan 10 Kios Jual Makanan Kedaluwarsa;14/04/2025;1
Kapolres Sikka Janji Terus Kawal Kasus Anggotanya yang Pamer Kelamin ke Siswa SMP;14/04/2025;1
Direktur IT Bank DKI Dipecat, Ini 6 Rekomendasi Fahira Idris Terkait Manajemen IT;14/04/2025;1
Viral Video Dugaan Pungli Pemutihan Pajak di Balaraja, Kepala Samsat: Itu Tidak Benar...;14/04/2025;1
Penjelasan Wamenkop soal Dana Kopdes Merah Putih dari Sumber Lain: di Luar APBN;14/04/2025;1
Lindungi Nilai Jual Mobil dengan Paint Protection Film;14/04/2025;1
Diperiksa KPK 5 Jam, Febri Diansyah Ditanya soal Proses Masuk Tim Hukum Hasto;14/04/2025;1
"""Ipeka Palembang Fun Run 2025"", Ajang Lari Menguatkan Nilai Karakter dan Solidaritas";14/04/2025;1
Jadwal Indonesian Idol Spektakuler Show 10, Tersisa 5 Kontestan;14/04/2025;1
Pengemudi Grab Gelar Demo, Tuding Aplikator Tak Transparan;14/04/2025;1
Indonesia Ekspor 200 Kg Kelapa Segar ke China;14/04/2025;1
Nelayan Muara Angke Minta Prabowo dan Menteri Cek Lapangan Sebelum Buat Kebijakan;14/04/2025;1
Transformasi Industri Elektronik, Gandeng UMKM dan Kurangi Emisi Karbon;14/04/2025;1
Matcha, Teh Kuno Jepang yang Jadi Cara Tersehat Menikmati Kafein;14/04/2025;1
Kronologi Kecelakaan Gilang Gombloh, Ditabrak Truk Saat Tunggu Penyebrang Jalan;14/04/2025;1
3 Tower Wisma Atlet Kemayoran Siap Serah Terima Akhir April;14/04/2025;1
BMKG Petakan Wilayah yang Berpotensi Banjir pada 15-20 April 2025, Mana Saja?;14/04/2025;1
Disebut Ahmad Dhani Nyolong Lagu Dewa 19, Judika: Aku Tidak Ambil Pusing;14/04/2025;1
PGI Minta Rencana Evakuasi Warga Gaza Dikaji Matang, Jangan Sembrono;14/04/2025;1
Setelah Jumbo, Visinema Studios Sudah Siapkan Beberapa Film Animasi Lain;14/04/2025;1
Tepati Janji, Azrul Ananda Gowes 825 Km dari Surabaya ke Jakarta Temui Pramono Anung;14/04/2025;1
"Kesal ""Shower"" Pelan, Trump Ubah Aturan Air Mandi di AS";14/04/2025;1
PO Agra Mas Buka Rute Bogor-Bojonegoro, Pakai Bus Suites Family;14/04/2025;1
La Nyalla Akui Rumahnya Digeledah KPK Terkait Kasus Dana Hibah Jatim, tapi...;14/04/2025;1
Selama Lebaran, KAI Amankan Barang Tertinggal Senilai Rp 1,28 Miliar;14/04/2025;1
Alasan Pengacara Jokowi Ogah Tunjukkan Ijazah Asli: Jebakan Batman;14/04/2025;1
Link Pengumuman Administrasi Rekrutmen Bersama BUMN 2025 dan Jadwal Tes Berikutnya;14/04/2025;1
Kejati Sumsel Geledah Kantor Walkot Palembang, Dalami Kasus Mangkraknya Pembangunan Pasar Cinde;14/04/2025;1
Situasi Rumah La Nyalla Mattaliti di Surabaya Saat Digeledah KPK;14/04/2025;1
PDI-P Diterpa Isu Pengambilalihan dan Mundurnya Jadwal Kongres VI;14/04/2025;1
Tahu Aksinya Viral, Begal Polisi di Bekasi Beberapa Kali Pindah Tempat;14/04/2025;1
Jalan di Batu Tulis Ambles, Dedi Mulyadi Minta Jalur Pengganti Segera Dibangun;14/04/2025;1
20 Pendaki Ilegal Gunung Merapi Berhasil Diamankan Balai TNGM;14/04/2025;1
Persamaan Linear: Pengertian, Ciri-ciri, dan Jenis-jenisnya;14/04/2025;1
Ribuan Pengemudi Ojol Cirebon Akan Gelar Aksi Besar Tuntut Keadilan Tarif dan Potongan Aplikator;14/04/2025;1
Siap-siap, CIMB Niaga Siap Tebar Dividen Tunai Rp 3,9 Triliun;14/04/2025;1
Cek Harga Hatchback Bekas per April 2025, Jazz mulai Rp 73 Jutaan;14/04/2025;1
PTBA Alokasikan Belanja Modal Rp 7,2 Triliun di 2025, Naik 3 Kali Lipat;14/04/2025;1
Pengedar Sabu 192 Kg yang Ditangkap di Aceh Terancam Hukuman Mati;14/04/2025;1
Ramai Bantahan Matahari Kembar Usai Menteri Prabowo Panggil Jokowi Bos;14/04/2025;1
Warga AS Khawatir Bepergian ke Luar Negeri, Imbas Kebijakan Trump;14/04/2025;1
17 Pendulang Emas Dievakuasi: 15 Tewas Dibunuh KKB dan 2 Orang Selamat Setelah Sembunyi di Hutan;14/04/2025;1
Viral, Video Pengendara Motor Tewas Tidak Terjamin Jasa Raharja di Takalar;14/04/2025;1
Samsat: 2.600 Lebih Kendaraan Bermotor Pemkab Garut Belum Bayar Pajak;14/04/2025;1
Resep Cilok Kerikil, Jajanan SD Seribuan yang Viral;14/04/2025;1
Pencuri Besi di JPO Daan Mogot Diduga Pura-pura Tidur Sebelum Beraksi;14/04/2025;1
Jadwal KRL Jogja - Solo Besok, Jam Berapa Kereta Paling Pagi?;14/04/2025;1
Rumah Digeledah KPK, La Nyalla Klaim Tak Ada Uang Terkait Kasus Dana Hibah;14/04/2025;1
Bantah Terlibat Kasus Suap Penanganan Kasus Ekspor CPO, Zarof Ricar: Fitnah Itu!;14/04/2025;1
Wali Kota Jambi Siapkan Rp 5 Miliar untuk Ganti Rugi Lahan Kolam Retensi;14/04/2025;1
Menaker: SDM Unggul Jadi Kunci Masa Depan Industri Indonesia;14/04/2025;1
Geely EX5 Raih Lima Bintang Pada Tes Tabrak ANCAP;14/04/2025;1
Laporan Terhadap Armuji Dicabut, Jan Hwa Diana: Cak Ji Orang Baik;14/04/2025;1
Ciptakan 4.620 Lapangan Kerja, Ini Progres Tol Betung-Jambi;14/04/2025;1
Mengenal Pendarahan Otak: Tanda, Penyebab, dan Cara Mengatasinya;14/04/2025;1
Link Live Streaming Indonesia Vs Korea Utara U17, Kick Off Pukul 21.00 WIB;14/04/2025;1
Bacaan Niat Puasa Syawal, Ayyamul Bidh, dan Qadha Ramadhan: Latin dan Artinya;14/04/2025;1
5 Tips Memangkas Tanaman Sirih Gading agar Daunnya Lebih Rimbun;14/04/2025;1
Ini 4 Tips Menabung Emas dari OJK yang Aman dan Sesuai Prinsip Syariah;14/04/2025;1
Earth AI, Kini Kecerdasan Buatan Bisa Bantu Eksplorasi Mineral Kritis;14/04/2025;1
Cerita Silvana, Pembeli Setia Barang Bekas dengan Harga Miring di Wisata Mal Rongsok Depok;14/04/2025;1
"Film ""Jumbo"" yang Hangat yang Menghibur";14/04/2025;1
Target Lolos Piala Dunia, PSSI Dapat Anggaran Terbesar dari Kemenpora;14/04/2025;1
3 Hal yang Tidak Boleh Dilakukan Sebelum Donor Darah;14/04/2025;1
Uni Eropa Apresiasi Jeda Tarif Impor Trump, Sebut Akan Stabilkan Ekonomi Dunia;14/04/2025;1
"Mahasiswa Indonesia Ditahan Imigrasi AS Terkait Demo ""Black Lives Matter""";14/04/2025;1
Sempat Dirawat, Polisi Korban Begal di Bekasi Sudah Kembali Berdinas;14/04/2025;1
Tonton Aksi Jennie BLACKPINK di Coachella 2025, Rosé dan Lisa Asik Berjingkrak;14/04/2025;1
Wanita di Bali Tertembak Saat Bekerja, Proyektil Bersarang di Tulang Punggung;14/04/2025;1
Jan Hwa Diana Bersedia Cabut Laporan, Armuji Beri Pesan: Jangan Diulangi Lagi;14/04/2025;1
Satu Pertanyaan Titiek Puspa Usai Dengar Anak Mengaku Tak Ikuti Jejaknya dan Pilih Menjaga Martabat Ibu;14/04/2025;1
Digiland Run 2025 Raih Label Internasional, Jadi Ajang Lari Bergengsi di Indonesia;14/04/2025;1
Mutasi di Polda Jatim, Belasan Kapolres dan PJU Sertijab Hari Ini;14/04/2025;1
Kasus Pemotongan Dana PIP SMAN 7 Kota Cirebon Naik Penyidikan, 30 Orang Diperiksa;14/04/2025;1
Jerman Gratiskan Biaya Kuliah bagi Mahasiswa Lokal dan Internasional, Ini Alasannya;14/04/2025;1
[HOAKS] Baim Wong Promosikan Situs Judi;14/04/2025;1
Kata Vinales Usai Kena Penalti 16 Poin dan Gagal Podium;14/04/2025;1
"Salah Satu Pendaki Ilegal Gunung Merapi Mapala Senior, Terancam di-""Blacklist""";14/04/2025;1
Rumahnya Digeledah KPK, Apa Kaitan La Nyalla dengan Kasus Dana Hibah Jatim?;14/04/2025;1
Qatar Investasi Rp 33,5 Triliun, CIO Danantara: Untuk Sektor Prioritas;14/04/2025;1
Masa Depan Antonio Conte, Tetap di Napoli Hingga 2026;14/04/2025;1
7 Tersangka dan Perannya dalam Kasus Dugaan Suap Vonis Lepas Perkara Ekspor CPO;14/04/2025;1
Tolak 3 Kebijakan KKP, Nelayan: Tolong, Kami Sudah Hidup Sengsara...;14/04/2025;1
Terungkap! Pengedar Sabu 192 Kg di Aceh Jaringan Narkoba RI-Malaysia;14/04/2025;1
Prediksi Timnas U17 Indonesia vs Korea Utara: Garuda Asia Optimistis, Chollima Waspada;14/04/2025;1
Pria Tewas di Kampung Ambon, Polisi Sebut Kematian Akibat Kecelakaan;14/04/2025;1
Diana Siap Cabut Laporan, Armuji: Kasus Penahanan Ijazah Karyawan Bukan Urusan Saya Lagi;14/04/2025;1
Begal di Bekasi Tak Tahu Korbannya Polisi;14/04/2025;1
Hakim Imigrasi AS: Mahasiswa Palestina di Columbia, Khalil, Dapat Dideportasi;14/04/2025;1
Kasus Pabrik Narkoba di Malang, 1 Terdakwa Dituntut Hukuman Mati, 7 Seumur Hidup;14/04/2025;1
10 Manfaat Kuaci, Ternyata Camilan yang Menyehatkan;14/04/2025;1
La Nyalla Minta KPK Ungkap Hasil Penggeledahan Rumahnya ke Publik;14/04/2025;1
Buat Nego Tarif Trump, RI Siap Beli Produk AS Senilai Rp 317 Triliun;14/04/2025;1
5 Cara Memanfaatkan Kulit Jeruk di Rumah, Bisa Jadi Pewangi Alami;14/04/2025;1
4 Makanan yang Baik untuk Kulit Berjerawat, Perbanyak Konsumsi Probiotik;14/04/2025;1
Algojo di Perlintasan Sebidang KA;14/04/2025;1
Pengunjung Pasar Tanah Abang Digetok Parkir Rp 60.000, Pedagang: Bikin Orang Takut Berkunjung...;14/04/2025;1
Korea Utara U17 Siap Tempur Lawan Timnas Indonesia;14/04/2025;1
Perang Dagang, Amerika Serikat Menantang Seluruh Dunia;14/04/2025;1
Kuasa Hukum: Tuduhan Ijazah Palsu Jokowi Tidak Benar dan Menyesatkan;14/04/2025;1
TNI Bangun Pos Permanen di Perbatasan Desa yang Bentrok di Maluku Tengah;14/04/2025;1
KPK Geledah Rumah La Nyalla di Surabaya terkait Kasus Apa?;14/04/2025;1
